serialNumber,hardOutputVoltage,minOutputVoltage,maxOutputVoltage,constOutputVoltage,maxTemperature,hardCurrent,maxCurrent,scaleAmpsIn,offsetAmpsIn,scaleAmpsOut,offsetAmpsOut,scaleVoltsIn,offsetVoltsIn,scaleVoltsOut,offsetVoltsOut,constVoltageHyst,safetyVoltageHyst,safetyCurrentHyst,safetyTemperatureHyst,thermistorBeta,thermistorRo,thermistorRbias,thermistorTo,canBitrate,canBaseAddress,testMode,POseconds,INCseconds,TRACKseconds,SWVersion,syncCurrentHi,syncCurrentLow,autoSendRate
87,160,0,126,125,110,12,12,16.3945,0.0664185,16.5,0,201.593,0.342632,201.958,0.319564,0.2,2,0.25,5,3760,50000,8060,25,125000,1536,0,2,20,300,1.41102e+09,3,2,0
88,160,0,126,125,110,12,12,16.39,0.0157592,16.5,0,201.63,0.751393,201.86,0.40589,0.2,2,0.25,5,3760,50000,8060,25,125000,1536,0,2,20,300,1.41102e+09,3,2,0
89,160,0,126,125,110,12,12,16.3695,0.0190247,16.5,0,201.684,0.635339,201.636,0.386606,0.2,2,0.25,5,3760,50000,8060,25,125000,1536,0,2,20,300,1.41102e+09,3,2,0
90,160,0,147,146,110,12,12,16.398,0.0513058,16.5,0,202.123,0.64802,201.809,0.439635,0.2,2,0.25,5,3760,50000,8060,25,125000,1536,0,2,20,300,1.50104e+09,3,2,0
91,160,0,147,146,110,12,12,16.3729,0.0448952,16.5,0,202.089,0.809484,201.877,0.220845,0.2,2,0.25,5,3760,50000,8060,25,125000,1536,0,2,20,300,1.50104e+09,3,2,0
92,160,0,147,146,110,12,12,16.3889,0.0384279,16.5,0,200.788,0.804657,201.521,0.406577,0.2,2,0.25,5,3760,50000,8060,25,125000,1536,0,2,20,300,1.50104e+09,3,2,0
93,160,0,147,146,110,12,12,16.401,0.00204581,16.5,0,201.362,0.670923,201.336,0.43819,0.2,2,0.25,5,3760,50000,8060,25,125000,1536,0,2,20,300,1.50104e+09,3,2,0
94,160,0,125,124,110,12,12,16.5,0,16.5,0,200,0,200,0,0.2,2,0.25,5,3760,50000,8060,25,125000,1536,0,2,20,300,1006,3,2,0
95,160,0,125,124,110,12,12,16.5,0,16.5,0,200,0,200,0,0.2,2,0.25,5,3760,50000,8060,25,125000,1536,0,2,20,300,1006,3,2,0
96,160,0,125,124,110,12,12,16.5,0,16.5,0,200,0,200,0,0.2,2,0.25,5,3760,50000,8060,25,125000,1536,0,2,20,300,1006,3,2,0
97,160,0,125,124,110,12,12,16.5,0,16.5,0,200,0,200,0,0.2,2,0.25,5,3760,50000,8060,25,125000,1536,0,2,20,300,1006,3,2,0
98,160,0,125,124,110,12,12,16.5,0,16.5,0,200,0,200,0,0.2,2,0.25,5,3760,50000,8060,25,125000,1536,0,2,20,300,1006,3,2,0
99,160,0,125,124,110,12,12,16.5,0,16.5,0,200,0,200,0,0.2,2,0.25,5,3760,50000,8060,25,125000,1536,0,2,20,300,1006,3,2,0
